title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
DTI - Azul,Soporte y servicios informáticos,,Av. Juan Domingo Perón 525,+54 2281 42-7066,Azul,Provincia de Buenos Aires,-36.7820062,-59.8654974,,22,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zL2SLXDLlIyLOOkG7pxFlg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=231.62384&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:56:55.477Z,tecnologia
TECNO COMPUTACION,Tienda de móviles,http://www.tecnocomputacionazul.com/,Lamadrid 33,+54 2281 65-7938,Azul,Provincia de Buenos Aires,-36.7649137,-59.8624039,4.6,3,https://lh3.googleusercontent.com/p/AF1QipP9GgrGu9iOG5xNOUsuEUj6fdq4j3xvaLptITLH=w408-h408-k-no,12.0,7,2025-06-15T22:56:54.474Z,tecnologia
Ingeniero Marcelo Edgardo Cornec,Ingeniero,,Av. Juan Domingo Perón 622,+54 2281 42-6984,Azul,Provincia de Buenos Aires,-36.7832779,-59.8635941,5.0,20,https://lh3.googleusercontent.com/p/AF1QipN3mw2facF8IFrTvwJ_gdFhsNWQrFQi4pazN5RN=w426-h240-k-no,13.0,3,2025-06-15T22:56:57.478Z,comercio
La esquina,Kiosco,,"7300, Gral. Paz 1500",+54 2281 36-0736,Azul,Provincia de Buenos Aires,-36.7980904,-59.8535248,3.7,19,https://lh3.googleusercontent.com/p/AF1QipP1o8LwpKf0khxVBfihAWLOI4K4X00X3SCtGAg=w408-h544-k-no,1.0,3,2025-06-15T22:56:57.478Z,comercio
Vidrieria 25 de Mayo de Jose Canalicchio,Comercio,,Guaminí 610,+54 2281 53-7036,Azul,Provincia de Buenos Aires,-36.7855521,-59.8671447,4.2,40,https://lh3.googleusercontent.com/p/AF1QipM1o-ulafI-mAMROrwDJeAv15XDqrWz-t4wzI86=w426-h240-k-no,5.0,9,2025-06-15T22:56:58.824Z,comercio
El Almacén,Tienda de ropa,,Av. Mitre 901,+54 2281 43-6001,Azul,Provincia de Buenos Aires,-36.7820645,-59.8535276,4.1,37,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJ1zIBol2hSMqViHOfQ4nImOXxIbkIgBdKGU_mDledq073-DS2ESZ6a9J8zJbFBVcYlP_NC7ylDTrU9a76gRU5qeBFyq79Kl8GzNNI_mskXAlESWWmTl8R-huNvIgRMaK2F812zQ=w408-h306-k-no,2.0,15,2025-06-15T22:56:58.824Z,comercio
Tus sorrentinos,Comercio,,España 418,+54 2281 56-4122,Azul,Provincia de Buenos Aires,-36.7793544,-59.853713,,36,https://lh3.googleusercontent.com/p/AF1QipPp_by7_7ex8dl9zbGenhIxYdoDgTEiYRtP-AWu=w408-h906-k-no,22.0,0,2025-06-15T22:56:58.824Z,comercio
Venden y permutas,Tienda general,,Gral. Rivas 787,,Azul,Provincia de Buenos Aires,-36.7887673,-59.8650307,,34,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S1kTFpHnfYoL20C_61-NkA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=198.58519&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:56:58.824Z,comercio
MiniMercado La Esquina de Alejandro y Silvina,Comercio,,España 1699,,Azul,Provincia de Buenos Aires,-36.7964878,-59.8737896,4.3,29,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqf9tsq_AytWExGgJrpTk-L5SI1FmirJVvwRjC9ojTeSPOq6No9fkPU0XwnPnweLQIPGS1cYMnUkXjZSSbWHXJM-5agZX8IO8O6YdfxK7B9pWqmEzDTfcSIynJmCjEkKcpC9s8Hz9Ucyb5x=w408-h306-k-no,20.0,22,2025-06-15T22:56:58.824Z,comercio
"Kiosco ""Pasaje del parque""",Comercio,,Pje. 25 de Abril,+54 2281 52-6194,Azul,Provincia de Buenos Aires,-36.7818313,-59.8750316,5.0,23,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrTY3uDxVEBPRv2VqYKJaV-GoWN44PK80cq9eCCZxf0BdsC3IIWztwGi8v8yX136XorfRDmD_52j0ECvAdutl4_BLUUwCM-JpnySErvCbimv3ztqqXm4Km6u_xq8IvG-_Yx57VYEWNB1ZdW=w408-h725-k-no,6.0,1,2025-06-15T22:56:58.823Z,comercio
Martinez Juan J M Hijos de,Comercio,,Av. Mitre 750,+54 2281 42-4153,Azul,Provincia de Buenos Aires,-36.7798616,-59.8556704,,18,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zfM16tc1yHKo1iYZxwfsuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=35.628044&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:56:57.478Z,comercio
Tateti,Kiosco,,Av. 25 de Mayo 551,,Azul,Provincia de Buenos Aires,-36.7789718,-59.859324,4.9,60,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sG2QlkoAJfu279css1VKZQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.49309&pitch=0&thumbfov=100,1.0,15,2025-06-15T22:57:00.083Z,comercio
Ferreteca,Ferretería,,San Martín 805,+54 2281 42-5648,Azul,Provincia de Buenos Aires,-36.7827675,-59.8575499,4.6,59,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gBDyRgEhxtm70NWiF6VGXA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.02905&pitch=0&thumbfov=100,1.0,23,2025-06-15T22:57:00.083Z,comercio
"Loteria De La Provincia ""Piazza Sur""",Tienda de lotería,,Avenida Juan B. Justo 1126,,Azul,Provincia de Buenos Aires,-36.7898262,-59.8545457,5.0,58,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CVe7e7avh_WDXguc5eA0qQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.892315&pitch=0&thumbfov=100,1.0,1,2025-06-15T22:57:00.083Z,comercio
Brillos,Tienda de artículos para el hogar,,Hipólito Yrigoyen 683,+54 2281 52-6868,Azul,Provincia de Buenos Aires,-36.7805454,-59.8588356,4.7,57,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCnsbOANSV0zA8RqBEYn9LZf10ENZgTs1Xy_0g0bXYeFjCijjsLKiDm8-4BySAt7g5oVMFjFJsKj5maEE61o0vvFRlZNBpoK4MMbmZpC8hg0jirICb2iIi6xiZDeeQnETSU3Pyvg=w408-h725-k-no,11.0,484,2025-06-15T22:57:00.083Z,comercio
El Tiempo,Librería,,,,Azul,Provincia de Buenos Aires,-36.7843096,-59.8553016,,56,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eqgsTGxHw16m_NXsUKKsIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.071589&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:57:00.082Z,comercio
Dietética estilo natural,Tienda de alimentación,,,+54 2901 48-2993,Azul,Provincia de Buenos Aires,-36.7818364,-59.8587905,4.9,55,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np20gRJadMD7tBQ77t0U1ME7HEjz0FC_b1IpGlkSLHSeYmpVPUOc0KkeMujWRjW2iG9ynAzdBYlqK4plEEFBlLCktbHP7REmoB1Xcf7YtWl9JpuVxSRL7ATez48fQ5jxjgoAyOH=w408-h306-k-no,2.0,19,2025-06-15T22:57:00.082Z,comercio
STILTON almacén,Tienda de alimentación,http://instagram.com/stiltonalmacen,Moreno 850,+54 2281 66-6262,Azul,Provincia de Buenos Aires,-36.7818689,-59.8649548,4.5,54,https://lh3.googleusercontent.com/p/AF1QipOsq_B4qfSE_a1vZPEXCp-DZRoobdy6fYkofOsC=w427-h240-k-no,18.0,23,2025-06-15T22:57:00.082Z,comercio
DESPENSA LA ESQUINA,Tienda de alimentación,,,,Azul,Provincia de Buenos Aires,-36.7867576,-59.8656969,,69,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oCidaJn-eX-1y8BnNYc1SQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.73502&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:57:01.287Z,comercio
La Coqueta Frutas Y Verdura's,Tienda de alimentación,,,,Azul,Provincia de Buenos Aires,-36.7819461,-59.8600119,,68,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b2oBzAfgWAcGfDozj5YeuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.94806&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:57:01.287Z,comercio
Enlanadas,Tienda general,,Av. 25 de Mayo 710,,Azul,Provincia de Buenos Aires,-36.780747,-59.8619676,5.0,67,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bcJ03MuaTkee9ClyMB49BQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=301.2784&pitch=0&thumbfov=100,1.0,1,2025-06-15T22:57:01.287Z,comercio
