title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Polirrubros La Silvia,Kiosco,,Av. Ituzaingó 1317,,Olavarría,Provincia de Buenos Aires,-36.8954659,-60.3450999,4.8,1,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8xvTgpbctG-9Ttr7o6i3CaKGMd4LM3Rf_NeHHFpLH0kQDvF_TCj5158sCZrdffbfsuK_P33Z2HuFPW5INdrX9Zu-hhdpWF96MJtmK75hX0m65UDNF3aQJ6Ht82xu2G3j6i16-=w426-h240-k-no,16.0,27,2025-05-29T00:56:12.806Z,comercio
Distribuidora Katy,Comercio,,"Pelegrino, Av. Ituzaingó e",+54 2284 71-1461,Olavarría,Provincia de Buenos Aires,-36.8904483,-60.3381332,,2,https://lh3.googleusercontent.com/p/AF1QipOckQKK6l6UC0Bscvd7bj3ooNV633aGRAkIiRqK=w408-h906-k-no,20.0,0,2025-05-29T00:56:12.808Z,comercio
Mercadito Gaby-Fer,Comercio,,Collinet 2595,+54 2284 41-7540,Olavarría,Provincia de Buenos Aires,-36.9009979,-60.3351212,5.0,3,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nppJD_PwNOaY7KKxhxikJTrD07KEEWqgTzPGRUBj7NZCys094LG5SU9yJY5xYWIN11rj-R_GLbKFxKdfVoPeHlgy7XxMGPO78FAq3H6Nhff1pLpAApavrAbNNrp79Jvb2hufqmkXw=w408-h725-k-no,3.0,4,2025-05-29T00:56:12.808Z,comercio
Dulcemente,Tienda de alimentación,,Independencia 1700-1600,+54 2284 69-7125,Olavarría,Provincia de Buenos Aires,-36.8954927,-60.3396999,5.0,4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEJfRYx5qddAWVtHrsB_7KuVGCPgsZ2MiY9ZhSQmxWzUc0Dz_uEBfnJ-io_C2tccptzXYLASuVhxy4iKzr6ZIiWmOWQmGUd_1P77AhqX8KhdOyLDvtLxIr9IZki6VnwzJgWowY=w408-h408-k-no,2.0,2,2025-05-29T00:56:12.808Z,comercio
104 Polirrubro,Tienda de alimentación,,Azopardo 1598,+54 2284 42-1670,Olavarría,Provincia de Buenos Aires,-36.8930219,-60.341844,3.8,5,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noqABoiN4MPRoW99qJulH_GSLhr0kfkd7lB3KAXZVzr1XPhv4CyM-R3pnrORN4RPYau1dEZdFmm1xNBcVW95pjnxdSyCgCpfAU4hTcYkdqyK1U1HT6GCNI3_uoG0jNTM3kKbCiEEA=w408-h544-k-no,18.0,4,2025-05-29T00:56:12.808Z,comercio
La Carapegueña,Tienda de ropa,,Ayacucho 1490,+54 2284 13-0379,Olavarría,Provincia de Buenos Aires,-36.8952891,-60.3424931,4.4,6,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEJ9D7h9BYOC5tXC5CdS4EAL-pne0O8aGNjEi2GXQlBtPOIW4XYTH4KThZImbVX7x-W-U9YE5rDrZ68QRw129U-fZqrE9ZTq64p_MONQzJdHbYBrGN-ZkroGhqAf5l0u5pS8HmCuXxtGMyUW2qpWY2wwVuSXVlgbs5mLIbiBzQjb_8Pp9CL8VKcmpk3iSd-5rk6mQ=w408-h306-k-no,5.0,14,2025-05-29T00:56:12.808Z,comercio
La Casiana Fábrica,Tienda de productos lácteos,http://www.lacasiana.com/,"Av Alberdi y, C. 10 7400",+54 2284 42-5266,Olavarría,Provincia de Buenos Aires,-36.8947136,-60.361892,4.7,7,https://lh3.googleusercontent.com/p/AF1QipP9N2WiZO1uh3PzyWq47vRdMp38zZ_d4EqIzQgs=w408-h272-k-no,98.0,61,2025-05-29T00:56:12.808Z,comercio
Kceritos,Tienda de alimentación,,Av. Alberdi 2788,+54 2284 41-3655,Olavarría,Provincia de Buenos Aires,-36.881884,-60.3373641,4.3,8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr_r6X7u2EyHaFfrauJl-p0uNPWaAiNMcXdU2QgCMcB4RQKYiBrKXyqleWHSwg7nUYl2dEDgw2ilPr87XeActtG5VLzLPo7eZeYqSH7W86Pupb7nLmCdhsD8sWOqnvxnJs6xrBZ=w408-h544-k-no,11.0,53,2025-05-29T00:56:12.808Z,comercio
Supermercado Andresito,Supermercado,,Av. Alberdi 2495,,Olavarría,Provincia de Buenos Aires,-36.883602,-60.3400673,4.1,9,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noLiE8_ndAM46AeE7Eob1kFROYcQrI8DwpyGKgR3Qad6w8IaT2IyGEQVoUu6xz7WBaA67UBWDJ4z0GRrsBCP78PKbbduzRRj3WJ0KXJi9gjjOw7wklB3ICDJCZShrKc_zweDh_iYA=w408-h306-k-no,5.0,90,2025-05-29T00:56:12.808Z,comercio
Kiosco el 13,Kiosco,,Tacuarí 1935,+54 2284 24-5680,Olavarría,Provincia de Buenos Aires,-36.890031,-60.3414348,4.4,10,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fKTZ6YcR-GCTsBSB7rEpsg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=320.2821&pitch=0&thumbfov=100,1.0,32,2025-05-29T00:56:12.809Z,comercio
