title,categoryName,website,street,phone,city,state,location/lat,location/lng,totalScore,rank,imageUrl,imagesCount,reviewsCount,scrapedAt,searchString
Dti - Azul,Soporte Y Servicios Informáticos,Incomplete,Av. Juan Domingo Perón 525,+54 9 2281 42-7066,Azul,Provincia de Buenos Aires,-36.7820062,-59.8654974,0.0,22,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zL2SLXDLlIyLOOkG7pxFlg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=231.62384&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:56:55.477Z,Tecnologia
Tecno Computacion,Tienda De Móviles,http://www.tecnocomputacionazul.com/,Lamadrid 33,+54 9 2281 65-7938,Azul,Provincia de Buenos Aires,-36.7649137,-59.8624039,4.6,3,https://lh3.googleusercontent.com/p/AF1QipP9GgrGu9iOG5xNOUsuEUj6fdq4j3xvaLptITLH=w408-h408-k-no,12.0,7,2025-06-15T22:56:54.474Z,Tecnologia
Ingeniero Marcelo Edgardo Cornec,Ingeniero,Incomplete,Av. Juan Domingo Perón 622,+54 9 2281 42-6984,Azul,Provincia de Buenos Aires,-36.7832779,-59.8635941,5.0,20,https://lh3.googleusercontent.com/p/AF1QipN3mw2facF8IFrTvwJ_gdFhsNWQrFQi4pazN5RN=w426-h240-k-no,13.0,3,2025-06-15T22:56:57.478Z,Comercio
La Esquina,Kiosco,Incomplete,"7300, Gral. Paz 1500",+54 9 2281 36-0736,Azul,Provincia de Buenos Aires,-36.7980904,-59.8535248,3.7,19,https://lh3.googleusercontent.com/p/AF1QipP1o8LwpKf0khxVBfihAWLOI4K4X00X3SCtGAg=w408-h544-k-no,1.0,3,2025-06-15T22:56:57.478Z,Comercio
Vidrieria 25 De Mayo De Jose Canalicchio,Comercio,Incomplete,Guaminí 610,+54 9 2281 53-7036,Azul,Provincia de Buenos Aires,-36.7855521,-59.8671447,4.2,40,https://lh3.googleusercontent.com/p/AF1QipM1o-ulafI-mAMROrwDJeAv15XDqrWz-t4wzI86=w426-h240-k-no,5.0,9,2025-06-15T22:56:58.824Z,Comercio
El Almacén,Tienda De Ropa,Incomplete,Av. Mitre 901,+54 9 2281 43-6001,Azul,Provincia de Buenos Aires,-36.7820645,-59.8535276,4.1,37,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJ1zIBol2hSMqViHOfQ4nImOXxIbkIgBdKGU_mDledq073-DS2ESZ6a9J8zJbFBVcYlP_NC7ylDTrU9a76gRU5qeBFyq79Kl8GzNNI_mskXAlESWWmTl8R-huNvIgRMaK2F812zQ=w408-h306-k-no,2.0,15,2025-06-15T22:56:58.824Z,Comercio
Tus Sorrentinos,Comercio,Incomplete,España 418,+54 9 2281 56-4122,Azul,Provincia de Buenos Aires,-36.7793544,-59.853713,0.0,36,https://lh3.googleusercontent.com/p/AF1QipPp_by7_7ex8dl9zbGenhIxYdoDgTEiYRtP-AWu=w408-h906-k-no,22.0,0,2025-06-15T22:56:58.824Z,Comercio
Venden Y Permutas,Tienda General,Incomplete,Gral. Rivas 787,Incomplete,Azul,Provincia de Buenos Aires,-36.7887673,-59.8650307,0.0,34,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S1kTFpHnfYoL20C_61-NkA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=198.58519&pitch=0&thumbfov=100,1.0,0,2025-06-15T22:56:58.824Z,Comercio
Minimercado La Esquina De Alejandro Y Silvina,Comercio,Incomplete,España 1699,Incomplete,Azul,Provincia de Buenos Aires,-36.7964878,-59.8737896,4.3,29,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqf9tsq_AytWExGgJrpTk-L5SI1FmirJVvwRjC9ojTeSPOq6No9fkPU0XwnPnweLQIPGS1cYMnUkXjZSSbWHXJM-5agZX8IO8O6YdfxK7B9pWqmEzDTfcSIynJmCjEkKcpC9s8Hz9Ucyb5x=w408-h306-k-no,20.0,22,2025-06-15T22:56:58.824Z,Comercio
Kiosco Pasaje Del Parque,Comercio,Incomplete,Pje. 25 de Abril,+54 9 2281 52-6194,Azul,Provincia de Buenos Aires,-36.7818313,-59.8750316,5.0,23,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrTY3uDxVEBPRv2VqYKJaV-GoWN44PK80cq9eCCZxf0BdsC3IIWztwGi8v8yX136XorfRDmD_52j0ECvAdutl4_BLUUwCM-JpnySErvCbimv3ztqqXm4Km6u_xq8IvG-_Yx57VYEWNB1ZdW=w408-h725-k-no,6.0,1,2025-06-15T22:56:58.823Z,Comercio
