"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","checkInDate","checkOutDate","cid","city","claimThisBusiness","countryCode","description","domain","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","emails/6","emails/7","emails/8","emails/9","emails/10","emails/11","emails/12","emails/13","emails/14","emails/15","emails/16","emails/17","emails/18","emails/19","emails/20","emails/21","emails/22","emails/23","emails/24","emails/25","emails/26","emails/27","emails/28","emails/29","emails/30","facebooks/0","facebooks/1","facebooks/2","facebooks/3","fid","hotelAds/0/googleUrl","hotelAds/0/isOfficialSite","hotelAds/0/price","hotelAds/0/title","hotelAds/0/url","hotelAds/1/googleUrl","hotelAds/1/isOfficialSite","hotelAds/1/price","hotelAds/1/title","hotelAds/1/url","hotelDescription","hotelStars","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","language","leadsEnrichment","linkedIns/0","location/lat","location/lng","neighborhood","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phones/3","phones/4","phones/5","phones/6","phones/7","phones/8","phones/9","phones/10","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","phonesUncertain/4","phonesUncertain/5","phonesUncertain/6","phonesUncertain/7","phonesUncertain/8","phonesUncertain/9","phonesUncertain/10","phonesUncertain/11","phonesUncertain/12","phonesUncertain/13","phonesUncertain/14","phonesUncertain/15","phonesUncertain/16","phonesUncertain/17","phonesUncertain/18","phonesUncertain/19","phonesUncertain/20","phonesUncertain/21","phonesUncertain/22","phonesUncertain/23","phonesUncertain/24","phonesUncertain/25","phonesUncertain/26","phonesUncertain/27","phonesUncertain/28","phonesUncertain/29","phonesUncertain/30","phonesUncertain/31","phonesUncertain/32","phonesUncertain/33","phonesUncertain/34","phonesUncertain/35","phonesUncertain/36","phonesUncertain/37","phonesUncertain/38","phonesUncertain/39","phonesUncertain/40","phonesUncertain/41","phonesUncertain/42","phonesUncertain/43","phonesUncertain/44","phonesUncertain/45","phonesUncertain/46","phonesUncertain/47","phonesUncertain/48","phonesUncertain/49","phonesUncertain/50","phonesUncertain/51","phonesUncertain/52","phonesUncertain/53","phonesUncertain/54","phonesUncertain/55","phonesUncertain/56","phonesUncertain/57","phonesUncertain/58","phonesUncertain/59","phonesUncertain/60","phonesUncertain/61","phonesUncertain/62","phonesUncertain/63","phonesUncertain/64","phonesUncertain/65","phonesUncertain/66","phonesUncertain/67","phonesUncertain/68","phonesUncertain/69","phonesUncertain/70","phonesUncertain/71","phonesUncertain/72","phonesUncertain/73","phonesUncertain/74","phonesUncertain/75","phonesUncertain/76","phonesUncertain/77","phonesUncertain/78","phonesUncertain/79","phonesUncertain/80","phonesUncertain/81","phonesUncertain/82","phonesUncertain/83","phonesUncertain/84","phonesUncertain/85","phonesUncertain/86","phonesUncertain/87","phonesUncertain/88","phonesUncertain/89","phonesUncertain/90","phonesUncertain/91","phonesUncertain/92","phonesUncertain/93","phonesUncertain/94","phonesUncertain/95","phonesUncertain/96","phonesUncertain/97","phonesUncertain/98","phonesUncertain/99","phonesUncertain/100","phonesUncertain/101","phonesUncertain/102","phonesUncertain/103","phonesUncertain/104","phonesUncertain/105","phonesUncertain/106","phonesUncertain/107","phonesUncertain/108","phonesUncertain/109","phonesUncertain/110","phonesUncertain/111","phonesUncertain/112","phonesUncertain/113","phonesUncertain/114","phonesUncertain/115","phonesUncertain/116","phonesUncertain/117","phonesUncertain/118","phonesUncertain/119","phonesUncertain/120","phonesUncertain/121","phonesUncertain/122","phonesUncertain/123","phonesUncertain/124","phonesUncertain/125","phonesUncertain/126","phonesUncertain/127","phonesUncertain/128","phonesUncertain/129","phonesUncertain/130","phonesUncertain/131","phonesUncertain/132","phonesUncertain/133","phonesUncertain/134","phonesUncertain/135","phonesUncertain/136","phonesUncertain/137","phonesUncertain/138","phonesUncertain/139","phonesUncertain/140","phonesUncertain/141","phonesUncertain/142","phonesUncertain/143","phonesUncertain/144","phonesUncertain/145","phonesUncertain/146","pinterests/0","placeId","postalCode","price","rank","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","searchPageUrl","searchString","state","street","temporarilyClosed","tiktoks/0","title","totalScore","twitters/0","twitters/1","updatesFromCustomers/language","updatesFromCustomers/media/0/link","updatesFromCustomers/media/0/postDate","updatesFromCustomers/postDate","updatesFromCustomers/postedBy/name","updatesFromCustomers/postedBy/title","updatesFromCustomers/postedBy/totalReviews","updatesFromCustomers/postedBy/url","updatesFromCustomers/text","url","website","youtubes/0","youtubes/1"
"Gral. Rodríguez 639, B7000 Tandil, Provincia de Buenos Aires, Argentina",,,,,,,,,,,,,,"14253741118343730812","Tandil","true","AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911f9008e56f13:0xc5cf76070f41d67c",,,,,,,,,,,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cLWnRmvjIMKt_cDyB1lRoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=57.215298&pitch=0&thumbfov=100","1",,,"false","es-419",,,"-37.3257728","-59.1367909",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJE2_lCJAfkZURfNZBDwd2z8U","B7000",,"20",,"1",,,,,,"2025-07-30T15:41:45.809Z","https://www.google.com/maps/search/bazar/@-37.3286205,-59.066342517161935,14z?hl=es-419","bazar","Provincia de Buenos Aires","Gral. Rodríguez 639","false",,"Moderno Bazar","2",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Moderno%20Bazar&query_place_id=ChIJE2_lCJAfkZURfNZBDwd2z8U",,,
"Pinto 297, B7000 Tandil, Provincia de Buenos Aires, Argentina",,,,,,,,,,,,,,"925004919493389295","Tandil","false","AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911f41cad202e1:0xcd64712c9e46bef",,,,,,,,,,,,,"https://lh3.googleusercontent.com/p/AF1QipN0ZjfjK3xzq2LJd8uzS4jBqyP3WXFVDSxBY79X=w408-h308-k-no","60",,,"false","es-419",,,"-37.3291686","-59.1400563",,"false","+54 249 435-8967","+542494358967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJ4QLSykEfkZUR72vkyRJH1gw","B7000",,"19",,"1",,,,,,"2025-07-30T15:41:45.809Z","https://www.google.com/maps/search/bazar/@-37.3286205,-59.066342517161935,14z?hl=es-419","bazar","Provincia de Buenos Aires","Pinto 297","false",,"Bazar Todo Suelto en Limpieza","5",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bazar%20Todo%20Suelto%20en%20Limpieza&query_place_id=ChIJ4QLSykEfkZUR72vkyRJH1gw",,,
"9 de Julio 640, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de cubertería","Tienda de artículos para el hogar",,,,,,,,,"Tienda de cubertería",,,"2101272913846259545","Tandil","false","AR",,"instagram.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911fa8620c7c41:0x1d29389505f4cf59",,,,,,,,,,,,,"https://lh3.googleusercontent.com/p/AF1QipOvSxD-t5xg-1jbkfsNygzrbVwmXf2VInWI2Ui0=w533-h240-k-no","82",,,"false","es-419",,,"-37.325381","-59.1357446",,"false","+54 11 5949-1260","+541159491260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJQXwMYqgfkZURWc_0BZU4KR0","B7000",,"18",,"10",,,,,,"2025-07-30T15:41:45.809Z","https://www.google.com/maps/search/bazar/@-37.3286205,-59.066342517161935,14z?hl=es-419","bazar","Provincia de Buenos Aires","9 de Julio 640","false",,"Zoom Tandil","4.4",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zoom%20Tandil&query_place_id=ChIJQXwMYqgfkZURWc_0BZU4KR0","https://www.instagram.com/zoom.tandil/",,
"IRR, Quintana 866, B7001IRR Tandil, Provincia de Buenos Aires, Argentina","Tienda de cubertería","Tienda de ropa","Tienda de ropa de hogar","Zapatería","Juguetería",,,,,,"Tienda de cubertería",,,"15449549551346332566","Tandil","true","AR",,"facebook.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.facebook.com/litalia.uae7","facebook.com/litalia.uae7",,,"0x959120326c4ec9bd:0xd667d37633cb3396",,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrcB5Adgweam5OTX62OclFCWde9dkgJOYwOxryyFhh3-iUC41DEW4khjhJDdeOySegzxUGr8m0kksH9E876CsgEHLznMgoEgUr_yUEoTIQrfzTL1KEtT9Z3ZtQfKkqRu1owgnO7=w426-h240-k-no","13",,,"false","es-419",,,"-37.3050119","-59.1459816",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJvclObDIgkZURljPLM3bTZ9Y","B7001",,"17",,"442",,,,,,"2025-07-30T15:41:45.809Z","https://www.google.com/maps/search/bazar/@-37.3286205,-59.066342517161935,14z?hl=es-419","bazar","Provincia de Buenos Aires","IRR, Quintana 866","false",,"Zona Norte Shopping","4.4",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zona%20Norte%20Shopping&query_place_id=ChIJvclObDIgkZURljPLM3bTZ9Y","https://www.facebook.com/zonanortetandil",,
"9 de Julio 763, B7000 AQO, Provincia de Buenos Aires, Argentina","Tienda de artículos para el hogar",,,,,,,,,,"Tienda de artículos para el hogar",,,"1906785595744670548","AQO","false","AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911f904927dfe1:0x1a76436591315354",,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/AC9h4nowYYvWDOVOA1JS1-E3cGy1io3lfNJgQT0pxnRaoKG4hyDYUmGZlphmVXqCkX7n33kWG9iq6c1VtzLp_IWkzumkSQH9LTv8wt8COFL5vtydJgd5Zz2TJOsWb7Rob57N4c0Gq65vaQ=w426-h240-k-no","92",,,"false","es-419",,,"-37.3238565","-59.1362833",,"false","+54 9 249 421-9426","+5492494219426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJ4d8nSZAfkZURVFMxkWVDdho","B7000",,"16",,"3",,,,,,"2025-07-30T15:41:45.809Z","https://www.google.com/maps/search/bazar/@-37.3286205,-59.066342517161935,14z?hl=es-419","bazar","Provincia de Buenos Aires","9 de Julio 763","false",,"Bazar Limpito","3.7",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bazar%20Limpito&query_place_id=ChIJ4d8nSZAfkZURVFMxkWVDdho",,,
"Mitre 1186, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de cubertería",,,,,,,,,,"Tienda de cubertería",,,"10811982199144679328","Tandil","true","AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911f2b325d13bf:0x960be08699dd87a0",,,,,,,,,,,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=959W_o0Jgnmi_Do4aBO8_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.7519&pitch=0&thumbfov=100","1",,,"false","es-419",,,"-37.3205436","-59.129576",,"false","+54 249 420-7417","+542494207417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJvxNdMisfkZURoIfdmYbgC5Y","B7000",,"15",,"1",,,,,,"2025-07-30T15:41:45.808Z","https://www.google.com/maps/search/bazar/@-37.3286205,-59.066342517161935,14z?hl=es-419","bazar","Provincia de Buenos Aires","Mitre 1186","false",,"Ampola Mía Regalería","5",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ampola%20M%C3%ADa%20Regaler%C3%ADa&query_place_id=ChIJvxNdMisfkZURoIfdmYbgC5Y",,,
"San Martín 730, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de cubertería",,,,,,,,,,"Tienda de cubertería",,,"2538709831270820462","Tandil","false","AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911f7567c3852b:0x233b4f2410b06a6e",,,,,,,,,,,,,"https://lh3.googleusercontent.com/p/AF1QipPqGxjvOsMc6YXBBckVkZ8fRiN6suHKxh8Qx_65=w408-h304-k-no","15",,,"false","es-419",,,"-37.3254515","-59.1349208",,"false","+54 249 422-7319","+542494227319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJK4XDZ3UfkZURbmqwECRPOyM","B7000",,"14",,"8",,,,,,"2025-07-30T15:41:45.808Z","https://www.google.com/maps/search/bazar/@-37.3286205,-59.066342517161935,14z?hl=es-419","bazar","Provincia de Buenos Aires","San Martín 730","false",,"Los Andes Peatonal","4.6",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Los%20Andes%20Peatonal&query_place_id=ChIJK4XDZ3UfkZURbmqwECRPOyM",,,
,"Tienda de cortinas","Service establishment",,,,,,,,,"Tienda de cortinas",,,"5379444900416535743",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911f50315f60e7:0x4aa7a0a2aa1d3cbf",,,,,,,,,,,,,"https://lh3.googleusercontent.com/p/AF1QipMmZ69-iaIvyerD-7P7iL7gIhI8MKddBsZtpoU2=w408-h725-k-no","10",,,"false","es-419",,,"-37.3195228","-59.1427021",,"false","+54 249 431-5395","+542494315395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJ52BfMVAfkZURvzwdqqKgp0o",,,"95",,"0",,,,,,"2025-07-30T15:41:54.485Z","https://www.google.com/maps/search/hogar/@-37.3286205,-59.066342517161935,14z?hl=es-419","hogar",,,"true",,"Mervina Tienda de Diseño",,,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mervina%20Tienda%20de%20Dise%C3%B1o&query_place_id=ChIJ52BfMVAfkZURvzwdqqKgp0o",,,
,"Tienda de antigüedades","Service establishment",,,,,,,,,"Tienda de antigüedades",,,"16069749136500869266",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911f0ec7f878b9:0xdf0337b2cec64892",,,,,,,,,,,,,"https://lh3.googleusercontent.com/p/AF1QipMd3Hkt4p-GavR4XjjWi8YXEt9xi18KmO8Q6Tg-=w408-h306-k-no","33",,,"false","es-419",,,"-37.3195228","-59.1427021",,"false","+54 249 438-2716","+542494382716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJuXj4xw4fkZURkkjGzrI3A98",,,"94",,"0",,,,,,"2025-07-30T15:41:54.485Z","https://www.google.com/maps/search/hogar/@-37.3286205,-59.066342517161935,14z?hl=es-419","hogar",,,"false",,"Antigüa Herencia",,,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Antig%C3%BCa%20Herencia&query_place_id=ChIJuXj4xw4fkZURkkjGzrI3A98",,,
"Av. Brasil 60, B7000 Tandil, Provincia de Buenos Aires, Argentina","Tienda de pinturas",,,,,,,,,,"Tienda de pinturas",,,"5075476375002482061","Tandil","false","AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0x95911fd645390505:0x466fb6df3de9058d",,,,,,,,,,,,,"https://lh3.googleusercontent.com/p/AF1QipOeN1fH-lw42SESIC1A8WqDBATwQc9MpqmNURfh=w408-h306-k-no","34",,,"false","es-419",,,"-37.327597","-59.1138787",,"false","+54 249 469-6453","+542494696453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJBQU5RdYfkZURjQXpPd-2b0Y","B7000",,"93",,"9","8","1","0","0","0","2025-07-30T15:41:54.485Z","https://www.google.com/maps/search/hogar/@-37.3286205,-59.066342517161935,14z?hl=es-419","hogar","Provincia de Buenos Aires","Av. Brasil 60","false",,"Urbanus Pintureria","4.9",,,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Urbanus%20Pintureria&query_place_id=ChIJBQU5RdYfkZURjQXpPd-2b0Y",,,
